,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,2,2,1,2,2,1,0,0,0,0,0,0,0
6,0,0,0,0,0,1,4,5,8,4,4,2,5,0,0,0,0,0,0,0
7,0,0,0,0,1,2,4,7,5,3,6,5,3,1,0,0,0,0,0,0
8,0,0,0,1,2,2,6,7,3,6,8,7,6,3,1,0,0,0,0,0
9,0,0,0,0,5,4,5,7,6,7,7,6,10,2,4,1,0,0,0,0
10,0,0,0,2,2,3,5,5,8,9,4,6,6,4,4,3,0,0,0,0
11,0,0,0,0,1,2,4,5,3,6,6,10,4,6,2,2,0,0,0,0
12,0,0,0,0,0,3,5,5,4,6,6,7,4,5,2,2,0,0,0,0
13,0,0,0,0,0,1,6,3,3,3,3,4,3,3,2,0,0,0,0,0
14,0,0,0,0,0,1,2,1,2,2,2,3,1,1,0,0,1,0,0,0
15,0,0,0,0,0,0,0,1,2,4,3,6,4,1,1,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
