,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,2,1,2,1,1,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,4,4,3,2,6,3,1,0,0,0,0,0,0,0
7,0,0,0,0,0,1,4,5,4,7,5,5,3,0,0,0,0,0,0,0
8,0,0,0,0,0,4,6,5,5,5,5,5,2,2,0,0,0,0,0,0
9,0,0,0,0,0,3,5,4,5,5,9,6,8,4,1,0,0,0,0,0
10,0,0,0,0,0,2,6,8,5,10,9,5,7,5,0,0,0,0,0,0
11,0,0,0,1,0,2,2,3,11,7,6,4,5,2,0,0,0,0,0,0
12,0,0,0,0,0,0,2,4,5,4,4,4,1,2,0,0,0,0,0,0
13,0,0,0,0,0,0,1,2,2,4,3,4,4,1,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,2,3,3,2,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
