Format Version,1.23,Take Name,Z_T_B_1_linje1_001,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-04-05 02.33.39.829 P.M.,Capture Start Frame,11208953,Total Frames in Take,3635,Total Exported Frames,3635,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Qutee_2,Qutee_2,Qutee_2,Qutee_2,Qutee_2,Qutee_2
,ID,"7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C","7F61FF91F33811EE8C9DA3D1AAC458C"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,-0.332633,-3.879655,1.008073,27.490032,12.172589,-32.525188
1,0.010000,-0.179363,-3.787344,0.710891,27.483473,12.154369,-32.542995
2,0.020000,-0.116888,-3.803820,0.718025,27.483934,12.139971,-32.530491
3,0.030000,-0.136458,-3.796262,0.684772,27.481848,12.141994,-32.538960
4,0.040000,-0.458501,-3.830223,0.968932,27.483171,12.169032,-32.529285
5,0.050000,-0.132843,-3.806024,0.681223,27.483494,12.140030,-32.536316
6,0.060000,-0.155175,-3.796533,0.731683,27.484930,12.154346,-32.543850
7,0.070000,-0.149902,-3.800085,0.732074,27.483677,12.155320,-32.542919
8,0.080000,-0.145592,-3.821182,0.701776,27.483311,12.143137,-32.535046
9,0.090000,-0.251336,-3.799023,0.758312,27.480904,12.142365,-32.531929
10,0.100000,-0.231843,-3.755558,0.645876,27.488983,12.159065,-32.543507
11,0.110000,-0.382370,-3.845691,0.922356,27.493048,12.178631,-32.524765
12,0.120000,-0.077718,-3.758210,0.713234,27.481663,12.138498,-32.533596
13,0.130000,-0.083510,-3.726254,0.615250,27.485647,12.136128,-32.544174
14,0.140000,-0.224899,-3.871581,0.561355,27.465042,12.141726,-32.530289
15,0.150000,-0.138122,-3.795035,0.701091,27.482912,12.140003,-32.537327
16,0.160000,-0.319452,-3.910636,0.957816,27.487139,12.161599,-32.521477
17,0.170000,-0.101934,-3.759438,0.731164,27.481112,12.140800,-32.529709
18,0.180000,-0.131919,-3.757396,0.683426,27.482164,12.142187,-32.539165
19,0.190000,-0.116358,-3.811249,0.683102,27.479687,12.136683,-32.535301
20,0.200000,-0.088717,-3.781118,0.700012,27.483290,12.143867,-32.534897
21,0.210000,-0.307205,-3.917031,0.955589,27.485832,12.161634,-32.519207
22,0.220000,-0.329139,-3.892007,0.977148,27.480745,12.158757,-32.512074
23,0.230000,-0.135037,-3.783095,0.711733,27.481052,12.136068,-32.533333
24,0.240000,-0.103132,-3.797121,0.729385,27.485163,12.157499,-32.544865
25,0.250000,-0.173623,-3.788918,0.730044,27.483978,12.152973,-32.544750
